"Accepted Currency","ارز پذیرفته شده"
"An error has occurred","یک خطا رخ داد"
"An error occurred during paying process.","یک خطا در طی فرایند پرداخت رخ داد."
"An error occurred during the paying process.","یک خطا در طی این فرایند پرداخت رخ داد."
"Authorize Only","تنها تصویب کردن"
"Authorize and Capture","تصویب کردن و ضبط"
"CGI URL","CGI URL"
"Card Verification Number","شماره‌ی امنیتی کارت"
"ChronoPay Gateway","گذرگاه ChronoPay"
"ChronoPay Standard","استاندارد ChronoPay"
"Credit Card Number","شماره‌ی کارت اعتباری"
"Credit Card Number: xxxx-%s","شماره‌ی کارت اعتباری: xxxx-%s"
"Credit Card Type","نوع کارت اعتباری"
"Credit Card Type: %s","نوع کارت اعتباری: %s"
"Credit Card Types","انواع کارت اعتباری"
"Customer Interface Language","زبان واسط مشتری"
"Debug","اشکال زدایی"
"Dutch","هلندی"
"Enabled","ممکن‌شده"
"English","انگلیسی"
"Expiration Date","تاریخ انقضا"
"Gateway request error: %s","خطای درخواست گذرگاه: %s"
"German","آلمانی"
"Invalid operation code.","کد عملکرد نامعتبر."
"Invalid response format.","ساختار واکنش نامعتبر."
"Name on Card","نام روی کارت"
"Name on the Card: %s","نام روی کارت: %s"
"New Order Status","وضعیت سفارش جدید"
"Order #%s","سفارش شماره‌ی %s"
"Order number will be used if left empty.","اگر خالی بگذارید شماره‌ی سفارش استفاده خواهد شد."
"Payment Action","کنش پرداخت"
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Please Select","لطفا انتخاب نمایید"
"Product ID","شناسه‌ی محصول"
"Russian","روسی"
"Shared Secret","رمز تسهیم شده"
"Site ID","شناسه‌ی سایت"
"Sort Order","ترتیب ردیف"
"Specify access URL: {STORE_URL}/chronopay/standard/success in the ChronoPay client admin.","تعیین دسترسی URL: {STORE_URL}/chronopay/standard/success در مدیر کاربر ChronoPay"
"The customer has successfully returned from Chronopay.","مشتری بازگشت موفقیت آمیزی از Chronopay داشت."
"The customer was redirected to Chronopay.","مشتری به Chronopay هدایت شد."
"The selected currency code (%s) is not compatible with ChronoPay.","کد ارز انتخاب شده (%s) با ChronoPay سازگار نیست."
"The transaction ID is invalid.","شناسه‌ی تراکنش نامعتبر است."
"Title","عنوان"
"Transaction Description","توصیف تراکنش"
"What is this?","این چیست؟"
"You will be redirected to ChronoPay in a few seconds.","شما در چند ثانیه‌ی کوتاه به ChronoPay هدایت خواهید شد."
"You will be redirected to Chronopay website when you place an order.","هنگامی که شما سفارشی بدهید به وب‌سایت Chronopay هدایت خواهید شد."
