"A joint field with this alias (%s) is already declared.","یک فیلد مشترک با این نام مستعار (%s) پیش از این بیان شده است."
"Add Option","افزودن گزینه"
"An error occurred while loading a record, aborting. Error: %s","یک خطا در حین بارگذاری یک رکورد رخ داد، متوقف می‌شود. خطا: %s"
"An error occurred while loading the collection, aborting. Error: %s","یک خطا در حین بارگذاری مجموعه رخ داد، متوقف می‌شود. خطا: %s"
"An error occurred while saving a record, aborting. Error: ","یک خطا در حین ذخیره‌ی یک رکورد رخ داد، متوقف می‌شود. خطا: "
"Attempt to add an invalid object.","کوشش برای افزودن یک شی نامعتبر."
"Attribute '%s' used in configurable products.","ویژگی '%s' در محصولات قابل پیکربندی استفاده شده."
"Attribute Code","کد ویژگی"
"Attribute Label","برچسب ویژگی"
"Attribute Properties","مشخصات ویژگی"
"Attribute set with the ""%s"" name already exists.","مجموعه ویژگی با نام "" %s"" وجود دارد."
"Attribute with the same code","ویژگی با کد یکسان"
"Catalog Input Type for Store Owner","نوع ورودی کاتالوگ برای مالک فروشگاه"
"Data integrity: No header row found for attribute.","جامعیت داده: سطر هدری برای ویژگی یافت نشد."
"Date","تاریخ"
"Decimal Number","عدد اعشاری"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","ترتیب لیست کردن محصول پیش فرض با، بر روی ترتیب لیست سازی محصول موجود با، وجود ندارد"
"Default Value","مقدار پیش فرض"
"Default option value is not defined.","مقدار گزینه‌ی پیش فرض تعریف شده نیست."
"Delete","حذف"
"Dropdown","کشویی"
"Email","ایمیل"
"Entity collection expected.","مجموعه‌ی موجودیت مورد انتظار بود."
"Entity collections expected.","مجموعه‌های موجودیت مورد انتظار بود."
"Entity is not initialized.","موجودیت مقدار دهی اولیه نشده است."
"Failed to load node %s from config.","شکست در بارگذاری گره %s از پیکربندی."
"For internal use. Must be unique with no spaces","برای استفاده‌ی داخلی. باید یکتا و بدون فاصله باشد"
"Form Element with the same attribute","عنصر فرم با ویژگی یکسان"
"Form Fieldset with the same code","مجموعه فیلد فرم با کد یکسان"
"Form Type with the same code","نوع فرم با کد یکسان"
"Frontend label is not defined.","برچسب فرانت‌اند تعریف نشده است."
"Input Validation for Store Owner","ارزیابی ورودی برای مالک فروشگاه"
"Integer Number","عدد صحیح"
"Invalid EAV attribute.","ویژگی EAV نامعتبر."
"Invalid alias, already exists in joint attributes.","نام مستعار نامعتبر، در ویژگی‌های مشترک وجود دارد."
"Invalid attribute name: %s.","نام ویژگی نامعتبر: %s."
"Invalid attribute requested: %s","ویژگی درخواستی نامعتبر: %s"
"Invalid attribute type.","نوع ویژگی نامعتبر."
"Invalid character encountered in increment ID: %s","کاراکتر نامعتبر رویاروی شده در شناسه‌ی نمو: %s"
"Invalid entity specified","موجودیت تعیین شده نامعتبر"
"Invalid entity supplied.","موجودیت تامین شده‌ی نامعتبر."
"Invalid entity supplied: %s.","موجودیت تامین شده‌ی نامعتبر: %s."
"Invalid entity type.","نوع موجودیت نامعتبر."
"Invalid entity_id, skipping the record.","entity_id نامعتبر، در حال پرش از رکورد."
"Invalid entity_type specified: %s","entity_type نامعتبر تعیین شده: %s"
"Invalid foreign key.","کلید خارجی نامعتبر."
"Invalid form type.","نوع فرم نامعتبر."
"Invalid joint fields.","فیلدهای مشترک نامعتبر."
"Invalid store specified","فروشگاه تعیین شده‌ی نامعتبر"
"Joined field with this alias is already declared.","فیلد ملحق شده با این نام مستعار پیش از این بیان شده است."
"Joint field or attribute expression with this alias is already declared.","فیلد مشترک یا حالت ویژگی با این نام مستعار پیش از این بیان شده است."
"Letters","حروف"
"Letters (a-z, A-Z) or Numbers (0-9)","حروف (a-z, A-Z) یا اعداد (9-0)"
"Loaded %d records","%d رکورد بارگذاری شده"
"Multiple Select","چند انتخابی"
"No","خیر"
"No options found in config node %s","گزینه‌ای در پیکربندی گره %s یافت نشد"
"None","هیچ یک"
"Not shared with other products","با دیگر محصولات تسهیم شده نیست"
"Problem loading the collection, aborting. Error: %s","مشکل بارگذاری مجموعه، متوقف می‌شود. خطا: %s"
"Problem saving the collection, aborting. Error: %s","مشکل ذخیره‌ی مجموعه، متوقف می‌شود. خطا: %s"
"Required","الزامی"
"Saved %d record(s).","%d رکورد ذخیره شد."
"Scope must not be changed, because the attribute is used in configurable products.","دامنه نباید تغییر یافته باشد، زیرا ویژگی در محصولات قابل پیکربندی استفاده شده است."
"System","سیستم"
"Text Area","ناحیه‌ی متنی"
"Text Field","فیلد متنی"
"The attribute code \'%s\' is reserved by system. Please try another attribute code.","کد ویژگی \'%s\' توسط سیستم رزرو شده است. لطفا کد ویژگی دیگری را امتحان نمایید."
"The value of attribute ""%s"" must be unique.","مقدار ویژگی "" %s"" باید یکتا باشد."
"This attribute is used in configurable products.","این ویژگی در محصولات قابل پیکربندی استفاده شده است."
"URL","URL"
"Unique Value","مقدار یکتا"
"Unique Value (not shared with other products)","مقدار یکتا (با دیگر محصولات تسهیم شده نیست)"
"Unknown parameter.","پارامتر ناشناخته."
"Valid store_id is expected.","store_id معتبر انتظار می‌رود."
"Values Required","مقادیر لازم شده"
"Wrong attribute ID.","شناسه‌ی ویژگی اشتباه."
"Wrong attribute group ID.","شناسه‌ی گروه ویژگی اشتباه."
"Wrong attribute set ID.","شناسه‌ی مجموعه ویژگی اشتباه."
"Wrong entity ID.","شناسه‌ی موجودیت اشتباه."
"Yes","بلی"
"Yes/No","بلی/خیر"
