"API Gateway URL","URL گذرگاه API"
"Accepted Currency","ارز پذیرفته شده"
"An error has occurred","یک خطا رخ داد"
"Card Verification Number","شماره‌ی امنیتی کارت"
"Click <a href=""%s"">here</a> to continue shopping.","برای ادامه‌ی خرید <a href=""%s"">اینجا</a> کلیک کنید."
"Credit Card Number","شماره‌ی کارت اعتباری"
"Credit Card Number: xxxx-%s","شماره‌ی کارت اعتباری: xxxx-%s"
"Credit Card Type","نوع کارت اعتباری"
"Credit Card Type: %s","نوع کارت اعتباری: %s"
"Credit Card Types","انواع کارت اعتباری"
"Credit Card Verification","تایید کارت اعتباری"
"Customer ID","شناسه‌ی مشتری"
"Customer was redirected to eWAY.","مشتری به eWAY هدایت شد."
"Debug Flag","نشانه‌ی اشکال زدایی"
"Enabled","ممکن‌شده"
"Expiration Date","تاریخ انقضا"
"Name on Card","نام روی کارت"
"Name on the Card: %s","نام روی کارت: %s"
"New Order Status","وضعیت سفارش جدید"
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Please Select","لطفا انتخاب نمایید"
"Selected currency code (%s) is not compatible with eWAY.","کد ارز انتخاب شده (%s) با eWAY سازگار نیست."
"Sort Order","ترتیب ردیف"
"The customer has successfully returned from eWAY.","مشتری بازگشت موفقیت آمیزی از eWAY داشت."
"The customer was rejected by eWAY.","مشتری توسط eWAY رد شد."
"There has been an error processing your payment.","یک خطا در پردازش پرداخت‌تان وجود داشته است."
"There has been an error processing your payment. Please try later or contact us for help.","یک خطا در پردازش پرداخت‌تان وجود داشته است. لطفا بعدا سعی نمایید یا برای کمک با ما تماس بگیرید."
"Title","عنوان"
"Use Beagle Anti-Fraud","استفاده از Beagle Anti-Fraud"
"What is this?","این چیست؟"
"You will be redirected to eWAY 3D-Secure in a few seconds.","شما در چند ثانیه‌ی کوتاه به eWAY 3D-Secure هدایت خواهید شد."
"You will be redirected to eWAY 3D-Secure website when you place an order.","هنگامی که شما سفارشی بدهید به وب‌سایت eWAY 3D-Secure هدایت خواهید شد."
"You will be redirected to eWAY in a few seconds.","شما در چند ثانیه‌ی کوتاه به eWAY هدایت خواهید شد."
"You will be redirected to eWAY website when you place an order.","هنگامی که شما سفارشی بدهید به وب‌سایت eWAY هدایت خواهید شد."
"eWAY 3D-Secure","eWAY 3D-Secure"
"eWAY Direct","eWAY Direct"
"eWAY Shared","eWAY Shared"
