"* Select shipping method","* انتخاب روش ارسال"
"A virtual item to reflect the discount total","یک آیتم مجازی برای برگرداندن مجموع تخفیف"
"A virtual item to reflect the tax total","یک آیتم مجازی برای برگرداندن مجموع مالیات"
"AVS Status: %s","وضعیت AVS: %s"
"Add","افزودن"
"Add Shipping Method","افزودن روش ارسال"
"Allowed Methods","روش‌های مجاز"
"Amount: %s","مبلغ: %s"
"Auto-generated from GoogleCheckout Charge","خودکار تولید شده از شارژ تسویه‌ی گوگل"
"Buyer Account Age: %s days","سن حساب خریدار: %s روز"
"CC Partial: xxxx-%s","بخشی از CC: xxxx-%s"
"CID Status: %s","وضعیت CID: %s"
"Carrier Calculated Methods","روش‌های برآوردشده‌ی حامل"
"Cart Discount","تخفیف کارت"
"Checkout Image Style","طرح تصویر تسویه"
"Continue Shopping URL","URL ادامه‌ی خرید"
"Debug","اشکال زدایی"
"Default Package Height (in)","بلندی پیش فرض بسته (in)"
"Default Package Length (in)","طول پیش فرض بسته (in)"
"Default Package Width (in)","پهنای پیش فرض بسته (in)"
"Default Price for Methods","قیمت پیش فرض برای روش‌ها"
"Default price:","قیمت پیش فرض:"
"Delivery Address Category","رده‌ی آدرس تحویل"
"Delivery Schedule","زمان بندی تحویل"
"Disable Default Tax Tables","جداول مالیاتی پیش فرض ناممکن"
"Discount Tax","مالیات تخفیف"
"Eligible for Protection: %s","مطلوب برای محافظت از: %s"
"Enable","ممکن"
"Enable Carrier Calculated","محاسبه‌ی حامل ممکن"
"Enable Digital Delivery","تحویل دیجیتال ممکن"
"Enable Flat Rate","نرخ یکنواخت ممکن"
"Enable Merchant Calculated","محاسبه‌ی فروشنده ممکن"
"Enable this if your checkout request is too big and being cut off.","اگر درخواست تسویه‌ی شما خیلی بزرگ است و جدا می‌شود این را ممکن کنید."
"Expiration: %s","انقضا: %s"
"Financial: %s -> %s","مالی: %s -> %s"
"Free Shipping","ارسال رایگان"
"Fulfillment: %s -> %s","انجام: %s -> %s"
"Google API","APIی گوگل"
"Google Authorization:","تصویب گوگل:"
"Google Buyer ID: %s","شناسه‌ی خریدار گوگل: %s"
"Google Charge:","هزینه‌ی گوگل:"
"Google Checkout","تسویه‌ی گوگل"
"Google Checkout Shipping - Carrier Calculated","تسویه‌ی ارسال گوگل - محاسبه‌ی حامل"
"Google Checkout Shipping - Digital Delivery","تسویه‌ی ارسال گوگل - تحویل دیجیتال"
"Google Checkout Shipping - Flat Rate","تسویه‌ی ارسال گوگل - نرخ یکنواخت"
"Google Checkout Shipping - Merchant Calculated","تسویه‌ی ارسال گوگل - محاسبه‌ی فروشنده"
"Google Checkout: %s","تسویه‌ی گوگل: %s"
"Google Order Number: %s","شماره‌ی سفارش گوگل: %s"
"Google Order Status Change:","تغییر وضعیت سفارش گوگل:"
"Google Refund:","استرداد گوگل:"
"Google Risk Information:","اطلاعات ریسک گوگل:"
"Hide Cart Contents","پنهان کردن محتویات سبد"
"IP Address: %s","آدرس IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","اگر ممکن شده باشد، بعد از کلیک بر روی دکمه‌ی تسویه‌ی گوگل در سبد خرید محتویات سبد پنهان خواهند شد، و اگر لینک ""ویرایش سبد"" فعال شده بود برگردانده خواهند شد."
"Invoice Auto-Created: %s","فاکتور خودکار ایجاد شده: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","خریدار خواهان دریافت ایمیل‌های بازاریابی است:"
"Large - %s","بزرگ - %s"
"Latest Charge: %s","آخرین هزینه: %s"
"Latest Refund: %s","آخرین استرداد: %s"
"Location","موقعیت"
"Medium - %s","متوسط - %s"
"Merchant ID","شناسه‌ی فروشنده"
"Merchant Key","کلید فروشنده"
"Method","روش"
"New Order Status","وضعیت سفارش جدید"
"No","خیر"
"Optional, leave empty for home page.","اختیاری، برای صفحه‌ی خانگی خالی باقی بگذارید."
"Rate 1 Amount","مبلغ نرخ 1"
"Rate 1 Ship To Applicable Countries","نرخ 1 ارسال به کشورهای مناسب"
"Rate 1 Ship to Specific Countries","نرخ 1 ارسال به کشورهای خاص"
"Rate 1 Title","عنوان نرخ 1"
"Rate 2 Amount","مبلغ نرخ 2"
"Rate 2 Ship To Applicable Countries","نرخ 2 ارسال به کشورهای مناسب"
"Rate 2 Ship to Specific Countries","نرخ 2 ارسال به کشورهای خاص"
"Rate 2 Title","عنوان نرخ 2"
"Rate 3 Amount","مبلغ نرخ 3"
"Rate 3 Ship To Applicable Countries","نرخ 3 ارسال به کشورهای مناسب"
"Rate 3 Ship to Specific Countries","نرخ 3 ارسال به کشورهای خاص"
"Rate 3 Title","عنوان نرخ 3"
"Remove","برداشتن"
"Required for live Google Checkout transactions.","برای تراکنش‌های واقعی تسویه‌ی گوگل الزامی است."
"Sandbox","سندباکس"
"Secure Callback URL","URL بازگشت امن"
"Small - %s","کوچک - %s"
"Total Charged: %s","مجموع هزینه شده: %s"
"Total Refunded: %s","مجموع مسترد شده: %s"
"Transparent","شفاف"
"United Kingdom","پادشاهی متحده"
"United States","ایالات متحده"
"Virtual item to reflect discount total","آیتم مجازی برای برگرداندن مجموع تخفیف"
"White Background","پس زمینه‌ی سفید"
"Yes","بلی"
"You will be redirected to GoogleCheckout in a few seconds.","شما در چند ثانیه‌ی کوتاه به GoogleCheckout هدایت خواهید شد."
