"AUTHENTICATE","تصدیق"
"An error has occurred","یک خطا رخ داد"
"Click <a href=""%s"">here</a> to continue shopping.","برای ادامه‌ی خرید <a href=""%s"">اینجا</a> کلیک کنید."
"Customer was redirected to Protx","مشتری به Protx هدایت شد"
"DEFERRED","معوق"
"Debug","اشکال زدایی"
"Enabled","ممکن‌شده"
"General contact email will be used if left empty.","اگر خالی بماند از ایمیل تماس عمومی استفاده خواهد شد."
"Live","زنده"
"Mode","حالت"
"New Order Status","وضعیت سفارش جدید"
"Order total amount does not match protx gross total amount","مبلغ کل سفارش با مبلغ کل ناخالص protx همسان نیست"
"PAYMENT","پرداخت"
"Payment Action","کنش پرداخت"
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Protx Standard","Protx استاندارد"
"Simulator","شبیه ساز"
"Sort Order","ترتیب ردیف"
"Store name will be used if left empty.","اگر خالی بماند از نام فروشگاه استفاده خواهد شد."
"Test","آزمایش"
"The customer has returned from Protx.","مشتری از Protx بازگشته است."
"The order %s was canceled by the customer.","سفارش %s توسط مشتری لغو شده بود."
"Title","عنوان"
"Transaction Description","توصیف تراکنش"
"Vendor Email","ایمیل فروشنده"
"Vendor Email Notification","اطلاعیه‌ی ایمیل فروشنده"
"Vendor Encrypted Password","گذرواژه‌ی رمزنگاری شده‌ی فروشنده"
"Vendor Name","نام فروشنده"
"You will be redirected to protx in a few seconds.","شما در چند ثانیه‌ی کوتاه به protx هدایت خواهید شد."
"You will be redirected to the Protx website when you place an order.","هنگامی که شما سفارشی بدهید به وب‌سایت Protx هدایت خواهید شد."
