"1 star","1 ستاره"
"2 stars","2 ستاره"
"3 stars","3 ستاره"
"4 stars","4 ستاره"
"5 stars","5 ستاره"
"Add New Rating","افزودن امتیاز جدید"
"Assigned Options","گزینه‌های اختصاص یافته"
"Be the first to review this product","برای نظر دادن به این محصول اولین باشید"
"Default Value","مقدار پیش فرض"
"Delete Rating","حذف امتیاز"
"Edit Rating","ویرایش امتیاز"
"ID","شناسه"
"If you do not specify a rating title for a store, the default value will be used.","اگر شما عنوان امتیازی برای یک فروشگاه مشخص نکنید، مقدار پیش فرض به کار خواهد شد."
"Manage Ratings","مدیریت امتیازات"
"New Rating","امتیاز جدید"
"Option Label","برچسب گزینه"
"Option Title","عنوان گزینه"
"Option Title:","عنوان گزینه:"
"Please select one of each ratings above","لطفا یکی از هر یک از امتیازات فوق را انتخاب نمایید"
"Rating Information","اطلاعات امتیاز"
"Rating Name","نام امتیاز"
"Rating Options","گزینه‌ها امتیاز"
"Rating Title","عنوان امتیاز"
"Rating Visibility","پدیداری امتیاز"
"Rating isn't Available","امتیاز در دسترس نیست"
"Rating with the same title","امتیاز با عنوان یکسان"
"Save Rating","ذخیره‌ی امتیاز"
"Visible In","نمایان در"
