"# of Uses","تعداد استفاده‌ها"
"%s tag(s) have been accepted for moderation.","%s برچسب برای مدیریت پذیرفته شد(ند)."
"<strong>Tag Name:</strong> %s","<strong>نام برچسب:</strong> %s"
"Action","کـنـش"
"Add New Tag","افزودن برچسب جدید"
"Add Tags","افزودن برچسب‌ها"
"Add Your Tags:","افزودن برچسب‌هایتان:"
"Add to Cart","افزودن به سبد"
"Add to Wishlist","افزودن به لیست دلخواه"
"All Tags","همه‌ی برچسب‌ها"
"Approved","تایید شده"
"Are you sure you want to delete this tag?","شما مطمئن‌اید که می‌خواهید این برچسب را حذف کنید؟"
"Are you sure you want to do this?","شما مطمئن‌اید که می‌خواهید این را انجام دهید؟"
"Are you sure?","شما مطمئن‌اید؟"
"Back","بازگشت"
"Back to Tags List","بازگشت به لیست برچسب‌ها"
"Base Popularity","محبوبیت مبنا"
"Block Information","اطلاعات بلاک"
"CSV","CSV"
"Change status","تغییر وضعیت"
"Click on a tag to view your corresponding products.","برای مشاهده‌ی محصولات متناظرتان بر روی یک برچسب کلیک کنید."
"Country","کشور"
"Customer My Account My Tags List","لیست برچسب‌های من حساب من مشتری"
"Customer My Account Tag View","مشاهده‌ی برچسب حساب من مشتری"
"Customer Since","مشتری از زمان"
"Customers","مشتریان"
"Customers Submitted this Tag","مشتریان ارایه کننده این برچسب"
"Customers Tagged '%s'","مشتریان '%s' برچسب زده‌اند"
"Delete","حذف"
"Delete Tag","حذف برچسب"
"Disabled","ناممکن‌شده"
"Edit Tag '%s'","ویرایش برچسب '%s'"
"Email","ایمیل"
"First Name","نام کوچک"
"General Information","اطلاعات عمومی"
"Grid","مشبک"
"ID","شناسه"
"Last Name","نام خانوادگی"
"List","لیست"
"Manage Tags","مدیریت برچسب‌ها"
"My Recent Tags","برچسب‌های اخیر من"
"My Tags","برچسب‌های من"
"Name","نام"
"New Tag","برچسب جدید"
"No matches found.","هیچ همسانی یافت نشد."
"Other people marked this product with these tags:","دیگران این محصول را با این برچسب‌ها نشانه گذاری کرده‌اند:"
"Pending","در انتظار"
"Pending Tags","برچسب‌های در انتظار"
"Popular","محبوب"
"Popular Tags","برچسب‌های محبوب"
"Price","قیمت"
"Product Name","نام محصول"
"Product SKU","کد کالای محصول"
"Product Tags","برچسب‌های محصول"
"Products","محصولات"
"Products Tagged by Administrators","محصولات برچسب خورده توسط مدیران"
"Products Tagged by Customers","محصولات برچسب خورده توسط مشتریان"
"Products Tagged with '%s'","محصولات برچسب خورده با '%s'"
"Products tagged with '%s'","محصولات برچسب خورده با '%s'"
"Rebuild Tag aggregation data","بازسازی داده‌ی تجمع برچسب"
"SKU","کد کالا"
"Save Tag","ذخیره‌ی برچسب"
"Save and Continue Edit","ذخیره و ادامه‌ی ویرایش"
"Status","وضعیت"
"Store View","نمای فروشگاه"
"Tag","برچسب"
"Tag ""%s"" has already been added to the product.","برچسب ""%s"" پیش از این به محصول افزوده شده است."
"Tag ""%s"" has been added to the product.","برچسب ""%s"" به محصول افزوده شد."
"Tag ""%s"" has been rejected by administrator.","برچسب ""%s"" توسط مدیریت رد شده است."
"Tag Aggregation Data","داده‌ی تجمع برچسب"
"Tag Name","نام برچسب"
"Tagged Products List","لیست محصولات برچسب خورده"
"Tags","برچسب‌ها"
"Tags List (All Available)","لیست برچسب‌ها (همه‌ی در دسترس)"
"Tags:","برچسب‌ها:"
"Telephone","تلفن"
"The tag has been deleted.","برچسب حذف شد."
"There are no tags available.","هیچ برچسبی در دسترس نیست."
"Unable to find any products tagged with '%s' in the current store","ناتوان در یافتن محصولات برچسب خورده با '%s' در فروشگاه جاری"
"Unable to remove tag. Please, try again later.","ناتوان در برداشتن برچسب. لطفا، بعدا دوباره سعی نمایید."
"Unable to save tag(s).","ناتوان در ذخیره‌ی برچسب(ها)."
"Use spaces to separate tags. Use single quotes (') for phrases.","برای جدا کردن برچسب‌ها از فاصله استفاده کنید. برای جملات نقل قول تکی (') را به کار ببرید."
"View All Tags","مشاهده‌ی همه‌ی برچسب‌ها"
"View Customers","مشاهده‌ی مشتریان"
"View Products","مشاهده‌ی محصولات"
"XML","XML"
"You have not tagged any products yet.","شما هنوز هیچ محصولی را برچسب نزده‌اید."
"ZIP/Post Code","کد پستی"
